tournament_id,match_id,map_guid,round_number,attacking_team_id,defending_team_id,winning_team_id,cause
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,1,16,17,17,SPIKE_DEFUSE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,2,16,17,17,SPIKE_DEFUSE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,3,16,17,16,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,4,16,17,17,SPIKE_DEFUSE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,5,16,17,17,SPIKE_DEFUSE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,6,16,17,16,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,7,16,17,16,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,8,16,17,16,DETONATE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,9,16,17,17,SPIKE_DEFUSE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,10,16,17,17,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,11,16,17,16,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,12,16,17,16,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,13,17,16,17,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,14,17,16,17,DETONATE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,15,17,16,16,SPIKE_DEFUSE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,16,17,16,16,SPIKE_DEFUSE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,17,17,16,17,DETONATE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,18,17,16,17,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,19,17,16,17,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,20,17,16,16,SPIKE_DEFUSE
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,21,17,16,16,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,22,17,16,17,ELIMINATION
108871629797692793,108871629798741439,/Game/Maps/Pitt/Pitt,23,17,16,17,ELIMINATION
